date,fear_greed_index,news_sentiment_mean,news_sentiment_std,news_count,news21_24_sentiment_mean,news21_24_sentiment_std,news21_24_count
2018-02-13 08:00:00+00:00,35,0.0,0.0,0,0.0,0.0,0.0
2018-02-13 12:00:00+00:00,35,0.0,0.0,0,0.0,0.0,0.0
2018-02-13 16:00:00+00:00,35,0.0,0.0,0,0.0,0.0,0.0
2018-02-13 20:00:00+00:00,35,0.0,0.0,0,0.0,0.0,0.0
2018-02-14 00:00:00+00:00,55,0.2,0.6324555320336759,10,0.0,0.0,0.0
2018-02-14 04:00:00+00:00,55,0.0,0.0,0,0.0,0.0,0.0
2018-02-14 08:00:00+00:00,55,0.0,0.0,0,0.0,0.0,0.0
2018-02-14 12:00:00+00:00,55,0.0,0.0,0,0.0,0.0,0.0
2018-02-14 16:00:00+00:00,55,0.0,0.0,0,0.0,0.0,0.0
2018-02-14 20:00:00+00:00,55,0.0,0.0,0,0.0,0.0,0.0
2018-02-15 00:00:00+00:00,71,0.07142857142857142,0.9168747682531899,14,0.0,0.0,0.0
2018-02-15 04:00:00+00:00,71,0.0,0.0,0,0.0,0.0,0.0
2018-02-15 08:00:00+00:00,71,0.0,0.0,0,0.0,0.0,0.0
2018-02-15 12:00:00+00:00,71,0.0,0.0,0,0.0,0.0,0.0
2018-02-15 16:00:00+00:00,71,0.0,0.0,0,0.0,0.0,0.0
2018-02-15 20:00:00+00:00,71,0.0,0.0,0,0.0,0.0,0.0
2018-02-16 00:00:00+00:00,67,0.13333333333333333,0.6399404734221844,15,0.0,0.0,0.0
2018-02-16 04:00:00+00:00,67,0.0,0.0,0,0.0,0.0,0.0
2018-02-16 08:00:00+00:00,67,0.0,0.0,0,0.0,0.0,0.0
2018-02-16 12:00:00+00:00,67,0.0,0.0,0,0.0,0.0,0.0
2018-02-16 16:00:00+00:00,67,0.0,0.0,0,0.0,0.0,0.0
2018-02-16 20:00:00+00:00,67,0.0,0.0,0,0.0,0.0,0.0
2018-02-17 00:00:00+00:00,74,0.25,0.9574271077563381,4,0.0,0.0,0.0
